YYYY MM DD       X              Y                Z          mX       mY     mZ
2019 5 5 3890987.9885147 1300010.5900898 4867786.5814965 0.00046 0.00023 0.00054
2019 5 6 3890987.9903885 1300010.5915401 4867786.5833610 0.00048 0.00025 0.00057
2019 5 7 3890987.9828409 1300010.5855634 4867786.5742868 0.00053 0.00028 0.00060
2019 5 8 3890987.9874373 1300010.5849694 4867786.5803953 0.00053 0.00026 0.00060
2019 5 9 3890987.9840341 1300010.5899497 4867786.5780042 0.00050 0.00027 0.00059
2019 5 10 3890987.9882659 1300010.5889626 4867786.5793814 0.00051 0.00026 0.00060
2019 5 11 3890987.9850364 1300010.5886232 4867786.5798974 0.00052 0.00025 0.00060
2019 5 12 3890987.9878937 1300010.5907911 4867786.5825167 0.00051 0.00024 0.00058
2019 5 13 3890987.9828355 1300010.5912841 4867786.5773779 0.00049 0.00025 0.00058
2019 5 14 3890987.9823930 1300010.5888196 4867786.5777656 0.00043 0.00022 0.00052
2019 5 15 3890987.9765857 1300010.5876948 4867786.5737093 0.00046 0.00022 0.00052
2019 5 16 3890987.9797625 1300010.5910928 4867786.5749170 0.00046 0.00022 0.00053
2019 5 17 3890987.9795137 1300010.5897982 4867786.5755407 0.00047 0.00023 0.00055
2019 5 18 3890987.9816373 1300010.5894346 4867786.5747488 0.00055 0.00028 0.00065
2019 5 19 3890987.9803813 1300010.5875847 4867786.5756678 0.00054 0.00025 0.00062
2019 5 20 3890987.9780576 1300010.5863529 4867786.5716775 0.00056 0.00027 0.00063
2019 5 21 3890987.9797975 1300010.5888804 4867786.5769585 0.00056 0.00028 0.00066
2019 5 22 3890987.9738068 1300010.5889525 4867786.5704785 0.00056 0.00029 0.00066
2019 5 23 3890987.9722255 1300010.5872028 4867786.5699103 0.00050 0.00024 0.00058
2019 5 24 3890987.9741945 1300010.5878905 4867786.5702957 0.00051 0.00024 0.00058
2019 5 25 3890987.9746811 1300010.5875806 4867786.5721797 0.00050 0.00025 0.00059
2019 5 26 3890987.9737788 1300010.5876199 4867786.5709011 0.00047 0.00024 0.00055
2019 5 27 3890987.9725514 1300010.5863792 4867786.5708316 0.00052 0.00025 0.00060
2019 5 28 3890987.9697117 1300010.5859072 4867786.5678988 0.00055 0.00026 0.00064
2019 5 29 3890987.9709623 1300010.5899456 4867786.5717342 0.00046 0.00023 0.00054
2019 5 30 3890987.9685063 1300010.5882128 4867786.5684138 0.00047 0.00024 0.00056
2019 5 31 3890987.9632770 1300010.5868275 4867786.5640318 0.00062 0.00031 0.00071
2019 6 1 3890987.9707148 1300010.5880115 4867786.5702903 0.00059 0.00028 0.00068
2019 6 2 3890987.9669841 1300010.5875989 4867786.5708786 0.00057 0.00028 0.00067
2019 6 3 3890987.9683657 1300010.5875783 4867786.5712464 0.00052 0.00027 0.00062
2019 6 4 3890987.9639767 1300010.5842903 4867786.5656103 0.00055 0.00026 0.00064
2019 6 5 3890987.9660994 1300010.5872623 4867786.5722505 0.00059 0.00028 0.00067
2019 6 6 3890987.9643192 1300010.5865330 4867786.5664799 0.00065 0.00032 0.00077
2019 6 7 3890987.9612336 1300010.5856832 4867786.5638996 0.00059 0.00030 0.00071
2019 6 8 3890987.9574634 1300010.5858881 4867786.5633027 0.00067 0.00032 0.00077
2019 6 9 3890987.9592527 1300010.5846261 4867786.5638701 0.00060 0.00028 0.00069
2019 6 10 3890987.9607397 1300010.5835105 4867786.5660628 0.00062 0.00031 0.00073
2019 6 11 3890987.9566372 1300010.5845874 4867786.5628327 0.00054 0.00028 0.00063
2019 6 12 3890987.9543335 1300010.5830366 4867786.5619494 0.00052 0.00024 0.00060
2019 6 13 3890987.9546302 1300010.5848362 4867786.5641241 0.00074 0.00035 0.00085
2019 11 25 3890987.7984258 1300010.5206004 4867786.4225653 0.00044 0.00022 0.00051
2019 11 26 3890987.7970528 1300010.5217321 4867786.4206994 0.00047 0.00024 0.00057
2019 11 27 3890987.7957147 1300010.5206301 4867786.4176325 0.00045 0.00022 0.00053
2019 11 29 3890987.7970805 1300010.5221257 4867786.4187962 0.00043 0.00022 0.00051
2019 11 30 3890987.8008406 1300010.5197111 4867786.4169196 0.00041 0.00020 0.00048
2019 12 1 3890987.7947781 1300010.5204024 4867786.4145527 0.00041 0.00022 0.00046
2019 12 2 3890987.7960418 1300010.5181796 4867786.4141819 0.00042 0.00021 0.00049
2019 12 3 3890987.7980482 1300010.5201253 4867786.4167183 0.00042 0.00021 0.00050
2019 12 4 3890987.7882798 1300010.5139983 4867786.4030913 0.00036 0.00018 0.00043
2019 12 5 3890987.7930321 1300010.5161694 4867786.4098299 0.00039 0.00020 0.00047
2019 12 6 3890987.7928099 1300010.5156510 4867786.4054031 0.00041 0.00021 0.00051
2019 12 7 3890987.7890802 1300010.5135883 4867786.4032239 0.00042 0.00023 0.00050
2019 12 8 3890987.7893799 1300010.5124963 4867786.4013966 0.00041 0.00021 0.00048
2019 12 9 3890987.7887354 1300010.5169129 4867786.3980230 0.00045 0.00023 0.00053
2019 12 10 3890987.7903251 1300010.5128324 4867786.3999323 0.00040 0.00020 0.00046
